Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity
Q11201,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",ST3GAL1,3,9.7,39.075,340,0,4.3982,41821000
Q12797,Aspartyl/asparaginyl beta-hydroxylase,ASPH,7,10.7,83.267,729,0,11.352,630480000
Q12805,EGF-containing fibulin-like extracellular matrix protein 1,EFEMP1,24,57.5,53.722,485,0,323.31,40823000000
Q12841,Follistatin-related protein 1,FSTL1,20,65.9,34.985,308,0,323.31,4172900000
Q12860,Contactin-1,CNTN1,52,63,113.32,1018,0,323.31,21306000000
Q12864,Cadherin-17,CDH17,11,18.6,92.218,832,0,90.155,512000000
Q12866,Tyrosine-protein kinase Mer;Receptor protein-tyrosine kinase,MERTK,6,6.4,110.25,999,0,11.32,372830000
Q12882,Dihydropyrimidine dehydrogenase [NADP(+)],DPYD,9,9.5,111.4,1025,0,14.211,182090000
Q12884,"Prolyl endopeptidase FAP;Antiplasmin-cleaving enzyme FAP, soluble form",FAP,43,55.3,87.711,760,0,323.31,10041000000
Q12905,Interleukin enhancer-binding factor 2,ILF2,2,6.7,43.062,390,0,4.3241,33965000
Q12906,Interleukin enhancer-binding factor 3,ILF3,4,6.2,74.606,690,0,15.918,87510000
Q12907,Vesicular integral-membrane protein VIP36,LMAN2,13,40.7,40.228,356,0,83.994,2679700000
Q12913,Receptor-type tyrosine-protein phosphatase eta,PTPRJ,13,12.7,145.94,1337,0,202.75,9013300000
Q13103,Secreted phosphoprotein 24,SPP2,7,30.8,24.337,211,0,32.45,1352900000
Q13162,Peroxiredoxin-4,PRDX4,2,18.8,30.54,271,0,2.3361,29775000
Q13201,Multimerin-1;Platelet glycoprotein Ia*;155 kDa platelet multimerin,MMRN1,14,13.9,138.11,1228,0,292.15,2498000000
Q13217,DnaJ homolog subfamily C member 3,DNAJC3,11,23.4,57.579,504,0,49.174,352630000
Q13228,Selenium-binding protein 1,SELENBP1,19,50.8,52.39,472,0,157.38,1460900000
Q13231,Chitotriosidase-1,CHIT1,18,51.3,48.564,437,0,323.31,2576900000
Q13232,Nucleoside diphosphate kinase 3,NME3,6,32.5,19.015,169,0,23.717,239470000
Q13275,Semaphorin-3F,SEMA3F,12,18,85.063,754,0,76.417,796740000
Q13308,Inactive tyrosine-protein kinase 7,PTK7,15,27.6,89.763,816,0,141.81,571030000
Q13332,Receptor-type tyrosine-protein phosphatase S;Protein-tyrosine-phosphatase,PTPRS,36,28.9,212.48,1910,0,323.31,4182600000
Q13418,Integrin-linked protein kinase,ILK,2,5.3,36.467,318,0,2.3635,7312100
Q13421,"Mesothelin;Megakaryocyte-potentiating factor;Mesothelin, cleaved form",MSLN,8,14.8,67.94,621,0,83.297,1512400000
Q13508,Ecto-ADP-ribosyltransferase 3,ART3,12,34.2,43.923,389,0,129.88,3528000000
Q13630,GDP-L-fucose synthase,TSTA3,3,13.1,35.892,321,0,7.1913,82543000
Q13724,Mannosyl-oligosaccharide glucosidase,MOGS,8,17,80.702,731,0,32.159,133660000
Q13740,CD166 antigen,ALCAM,20,39.1,63.664,570,0,183.13,6741200000
Q13790,Apolipoprotein F,APOF,6,27,35.399,326,0,72.782,2922200000
Q13797,Integrin alpha-9,ITGA9,2,2,114.49,1035,0,22.481,24637000
Q13867,Bleomycin hydrolase,BLMH,20,52.7,52.562,455,0,198.18,2996000000
Q14012,Calcium/calmodulin-dependent protein kinase type 1,CAMK1,3,10.3,41.337,370,0,6.1604,36084000
Q14019,Coactosin-like protein,COTL1,12,73.2,15.945,142,0,164.62,4665800000
Q14112,Nidogen-2,NID2,7,7.8,140.86,1274,0,54.373,74533000
Q14118,Dystroglycan;Alpha-dystroglycan;Beta-dystroglycan,DAG1,14,24.6,97.44,895,0,203.08,3941600000
Q14126,Desmoglein-2,DSG2,16,18.3,122.29,1118,0,293.32,2980500000
Q14162,Scavenger receptor class F member 1,SCARF1,5,23.4,36.24,337,0,34.112,42182000
Q14165,Malectin,MLEC,5,17.1,32.233,292,0,3.1039,66316000
Q14195,Dihydropyrimidinase-related protein 3,DPYSL3,2,7.7,73.91,684,0,4.268,12911000
Q14210,Lymphocyte antigen 6D,LY6D,2,14.8,13.286,128,0,3.3228,47179000
Q14247,Src substrate cortactin,CTTN,11,22.6,57.466,513,0,23.375,363180000
Q14314,Fibroleukin,FGL2,9,18.5,50.228,439,0,66.16,2105800000
Q14315,Filamin-C,FLNC,22,13.7,287.28,2692,0,87.103,798930000
Q14393,Growth arrest-specific protein 6,GAS6,4,9.5,68.255,624,0,13.662,28845000
Q14508,WAP four-disulfide core domain protein 2,WFDC2,4,45.2,12.993,124,0,17.273,182680000
Q14515,SPARC-like protein 1,SPARCL1,31,51.4,75.207,664,0,323.31,6496700000
Q14520,Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form,HABP2,30,48.7,59.864,534,0,323.31,1.3528E+11
Q14563,Semaphorin-3A,SEMA3A,9,13.9,88.888,771,0,33.981,197880000
Q14574,Desmocollin-3,DSC3,5,5.2,93.453,839,0,43.748,792380000
Q14697,Neutral alpha-glucosidase AB,GANAB,13,15.1,106.87,944,0,80.668,331130000
Q14766,Latent-transforming growth factor beta-binding protein 1,LTBP1,20,16.6,186.79,1721,0,271.05,1305900000
Q14847,LIM and SH3 domain protein 1,LASP1,8,28,29.717,261,0,18.726,202960000
Q14956,Transmembrane glycoprotein NMB,GPNMB,8,15,62.642,560,0,123.51,1991900000
Q14982,Opioid-binding protein/cell adhesion molecule,OPCML,4,24,33.574,304,0,16.554,99461000
Q15043,Zinc transporter ZIP14,SLC39A14,3,9.4,52.838,481,0,24.931,202400000
Q15056,Eukaryotic translation initiation factor 4H,EIF4H,3,28.9,25.2,228,0,16.121,39743000
Q15063,Periostin,POSTN,32,48.2,93.313,836,0,323.31,10948000000
Q15084,Protein disulfide-isomerase A6,PDIA6,11,33.2,47.837,437,0,59.428,470770000
Q15113,Procollagen C-endopeptidase enhancer 1,PCOLCE,22,62.8,47.972,449,0,323.31,15266000000
Q15166,Serum paraoxonase/lactonase 3,PON3,13,51.4,39.607,354,0,164.47,1940800000
Q15185,Prostaglandin E synthase 3,PTGES3,6,44.6,16.476,139,0,18.041,114420000
Q15223,Nectin-1,PVRL1,10,42.9,39.149,352,0,88.116,1394800000
Q15257,Serine/threonine-protein phosphatase 2A activator,PPP2R4,8,34.7,36.775,323,0,38.468,541660000
Q15293,Reticulocalbin-1,RCN1,6,21.5,38.89,331,0,21.688,322520000
Q15303,Receptor tyrosine-protein kinase erbB-4;ERBB4 intracellular domain,ERBB4,3,2.7,143.97,1282,0,5.6719,36619000
Q15375,Ephrin type-A receptor 7,EPHA7,5,5.9,111.62,994,0,27.313,29464000
Q15404,Ras suppressor protein 1,RSU1,13,63.5,31.54,277,0,224.02,1493900000
Q15485,Ficolin-2,FCN2,7,22,34.001,313,0,99.404,392220000
Q15555,Microtubule-associated protein RP/EB family member 2,MAPRE2,9,36.1,30.691,274,0,150.29,465330000
Q15582,Transforming growth factor-beta-induced protein ig-h3,TGFBI,33,68.2,74.68,683,0,323.31,54202000000
Q15691,Microtubule-associated protein RP/EB family member 1,MAPRE1,5,23.1,29.999,268,0,27.204,278990000
Q15746,"Myosin light chain kinase, smooth muscle;Myosin light chain kinase, smooth muscle, deglutamylated form",MYLK,2,2.8,80.409,714,0,3.8007,12885000
Q15782,Chitinase-3-like protein 2,CHI3L2,5,17.1,42.508,380,0,14.066,81517000
Q15818,Neuronal pentraxin-1,NPTX1,2,7.6,47.122,432,0,6.3141,19735000
Q15828,Cystatin-M,CST6,7,63.1,16.511,149,0,76.421,3234800000
Q15847,Adipogenesis regulatory factor,ADIRF,2,59.2,7.8547,76,0,33.006,42005000
Q15848,Adiponectin,ADIPOQ,6,36.5,26.413,244,0,61.951,3277400000
Q15904,V-type proton ATPase subunit S1,ATP6AP1,4,12.8,52.025,470,0,32.267,44489000
Q15942,Zyxin,ZYX,9,22.7,61.277,572,0,74.815,954810000
Q16270,Insulin-like growth factor-binding protein 7,IGFBP7,12,44.4,28.86,279,0,108.74,3102700000
Q16394,Exostosin-1,EXT1,20,35.1,86.254,746,0,213.68,2421700000
Q16531,DNA damage-binding protein 1,DDB1,5,4.4,126.97,1140,0,8.1483,35822000
Q16543,"Hsp90 co-chaperone Cdc37;Hsp90 co-chaperone Cdc37, N-terminally processed",CDC37,4,12.7,44.468,378,0,5.2764,48180000
Q16555,Dihydropyrimidinase-related protein 2,DPYSL2,4,11.9,62.293,572,0,47.336,65752000
Q16610,Extracellular matrix protein 1,ECM1,34,64.8,60.673,540,0,323.31,1.1063E+11
Q16620,BDNF/NT-3 growth factors receptor,NTRK2,5,20.5,53.051,477,0,106.2,360490000
Q16627,C-C motif chemokine 14;HCC-1(3-74);HCC-1(4-74);HCC-1(9-74),CCL14,5,43,10.678,93,0,115.94,389080000
Q16658,Fascin,FSCN1,9,20.9,54.529,493,0,19.489,147420000
Q16663,C-C motif chemokine 15;CCL15(22-92);CCL15(25-92);CCL15(29-92),CCL15,2,31,12.248,113,0,22.798,376590000
Q16706,Alpha-mannosidase 2,MAN2A1,57,57.2,131.14,1144,0,323.31,12674000000
Q16787,Laminin subunit alpha-3,LAMA3,12,4.2,360.21,3277,0,23.145,168600000
Q16832,Discoidin domain-containing receptor 2,DDR2,5,8.4,96.735,855,0,31.847,149620000
Q16853,Membrane primary amine oxidase,AOC3,21,33.3,84.621,763,0,323.31,13797000000
Q24JP5,Transmembrane protein 132A,TMEM132A,3,4.8,83.097,774,0,5.186,21359000
Q30118,"HLA class II histocompatibility antigen, DR alpha chain",HLA-DRA,4,23.1,25.859,229,0,43.924,89430000
Q32Q12,Nucleoside diphosphate kinase;Nucleoside diphosphate kinase B;Nucleoside diphosphate kinase A,NME1-NME2;NME2;NME1,10,51.7,32.642,292,0,31.59,1756200000
Q3LXA3,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing),DAK,11,24.9,58.946,575,0,84.051,7491300000
Q3ZCW2,Galectin-related protein,LGALSL,7,41.9,18.986,172,0,48.472,951380000
Q495W5,"Alpha-(1,3)-fucosyltransferase 11",FUT11,5,11.6,55.815,492,0,15.582,71027000
Q4G148,Glucoside xylosyltransferase 1,GXYLT1,9,22.7,46.8,409,0,17.482,310670000
Q4KMG0,Cell adhesion molecule-related/down-regulated by oncogenes,CDON,5,5.3,136.53,1264,0,12.638,231020000
Q53RD9,Fibulin-7,FBLN7,5,10.2,42.8,393,0,3.1063,35377000
Q58EX2,Protein sidekick-2,SDK2,9,5.9,211.18,1921,0,23.925,237290000
Q5BLP8,Neuropeptide-like protein C4orf48,C4orf48,2,18.9,10.17,95,0,2.5958,91392000
Q5H9A7,Metalloproteinase inhibitor 1,TIMP1,7,65.7,16.057,143,0,84.291,5685000000
Q5JNW7,Proteasome subunit beta type-8,PSMB8,2,7.9,27.85,252,0,3.7415,63185000
Q5JPE7,Nodal modulator 2;Nodal modulator 3;Nodal modulator 1,NOMO2;NOMO3;NOMO1,23,29.7,134.19,1222,0,202.77,1253000000
Q5JRA6,Melanoma inhibitory activity protein 3,MIA3,5,3.6,206.89,1848,0,36.024,80400000
Q5JS37,NHL repeat-containing protein 3,NHLRC3,3,13.9,31.054,280,0,11.743,25242000
Q5JSH3,WD repeat-containing protein 44,WDR44,7,13.5,91.271,824,0,92.963,105260000
Q5KU26,Collectin-12,COLEC12,4,4.7,81.514,742,0,4.2365,128550000
Q5R345,P-selectin,SELP,10,14.3,84.33,768,0,71.779,510880000
Q5SQ64,Lymphocyte antigen 6 complex locus protein G6f,LY6G6F,4,19.2,32.464,297,0,10.718,60275000
Q5SRI9,"Glycoprotein endo-alpha-1,2-mannosidase",MANEA,2,5.4,53.67,462,0.004084,1.6752,18843000
Q5SZC6,Guanine deaminase,GDA,4,17.8,44.188,393,0,44.662,66833000
Q5T2D2,Trem-like transcript 2 protein,TREML2,2,7.5,35.126,321,0,14.778,65160000
Q5T4B6,Thymosin beta-4;Hematopoietic system regulatory peptide,TMSB4X,4,61.4,5.1127,44,0,15.077,18806000000
Q5T985,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,29,34,105.21,935,0,133.62,2247400000
Q5T9B7,Adenylate kinase isoenzyme 1,AK1,4,21.4,23.411,210,0,3.9769,35607000
Q5TCJ5,Semaphorin-4A,SEMA4A,11,19.5,79.712,723,0,69.598,542390000
Q5TG12,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase kappa,PTPRK,12,10.8,164.2,1458,0,39.911,582950000
Q5VT82,Protocadherin-9,PCDH9,4,6.1,113.71,1032,0,19.284,31557000
Q5VTE0,Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1;Elongation factor 1-alpha 2,EEF1A1P5;EEF1A1;EEF1A2,4,8.7,50.184,462,0,4.0506,68836000
Q5VTT5,Myomesin-3,MYOM3,8,10.6,136.28,1212,0,55.258,186130000
Q5VU59,,DKFZp686J1372;TPM3,29,73.7,27.174,232,0,323.31,11026000000
Q5VU97,VWFA and cache domain-containing protein 1,CACHD1,7,5.7,142.29,1274,0,7.6881,36158000
Q5VY30,Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176),RBP4,2,14.1,22.974,199,0,5.9548,21176000
Q5VY43,Platelet endothelial aggregation receptor 1,PEAR1,13,17.9,110.67,1037,0,196.16,1287300000
Q5VYB9,Low-density lipoprotein receptor-related protein 11,LRP11,4,17.5,34.694,325,0,8.6001,78639000
Q5W0H4,Translationally-controlled tumor protein;TPT1-like protein,TPT1,4,25,21.525,188,0,18.826,294430000
Q5ZPR3,CD276 antigen,CD276,6,38.1,52.761,493,0,135.78,299160000
Q6EMK4,Vasorin,VASN,10,17.5,71.712,673,0,250.61,21950000000
Q6FHJ7,Secreted frizzled-related protein 4,SFRP4,4,18.8,39.826,346,0,32.698,141120000
Q6GPI1,Chymotrypsinogen B2;Chymotrypsin B2 chain A;Chymotrypsin B2 chain B;Chymotrypsin B2 chain C;Chymotrypsinogen B;Chymotrypsin B chain A;Chymotrypsin B chain B;Chymotrypsin B chain C,CTRB2;CTRB1,4,24.7,27.923,263,0,48.572,99917000
Q6GTS8,Probable carboxypeptidase PM20D1,PM20D1,11,24.9,55.741,502,0,69.249,794260000
Q6IBS0,Twinfilin-2,TWF2,5,19.5,39.548,349,0,25.117,147910000
Q6NUS6,Tectonic-3,TCTN3,2,7.9,47.284,429,0,10.509,19675000
Q6NVW1,Receptor protein-tyrosine kinase;Ephrin type-B receptor 2,EPHB2,4,11.8,53.252,482,0,15.499,51357000
Q6P179,Endoplasmic reticulum aminopeptidase 2,ERAP2,32,33.3,110.46,960,0,194.88,4819600000
Q6P452,Annexin;Annexin A4,ANXA4,7,25.4,33.552,299,0,36.341,153690000
Q6P4E1,Protein CASC4,CASC4,6,15,43.332,380,0,9.0021,200510000
Q6P988,Palmitoleoyl-protein carboxylesterase NOTUM,NOTUM,5,13.9,55.699,496,0,12.376,56109000
Q6P9A2,Polypeptide N-acetylgalactosaminyltransferase 18,GALNT18,5,6.6,69.56,607,0,3.5199,63016000
Q6PCB0,von Willebrand factor A domain-containing protein 1,VWA1,5,15.1,46.804,445,0,7.0586,102730000
Q6Q788,Apolipoprotein A-V,APOA5,3,12.6,41.212,366,0,13.253,48785000
Q6UVK1,Chondroitin sulfate proteoglycan 4,CSPG4,43,26.2,250.53,2322,0,323.31,1815300000
Q6UW63,KDEL motif-containing protein 1,KDELC1,3,7.4,58.042,502,0,3.9162,49313000
Q6UWP8,Suprabasin,SBSN,20,59.3,60.54,590,0,294.55,6731200000
Q6UWV6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,ENPP7,5,14.4,51.493,458,0,24.814,113950000
Q6UWW8,Carboxylesterase 3;Carboxylic ester hydrolase,CES3,3,7.9,62.281,571,0,5.9316,35459000
Q6UWY5,Olfactomedin-like protein 1,OLFML1,3,10.7,45.95,402,0,16.719,19542000
Q6UX71,Plexin domain-containing protein 2,PLXDC2,14,26.7,59.582,529,0,83.227,3699500000
Q6UX73,UPF0764 protein C16orf89,C16orf89,6,21.9,40.612,361,0,24.957,205180000
Q6UXB8,Peptidase inhibitor 16,PI16,13,30,49.471,463,0,146.42,27208000000
Q6UXH0,Angiopoietin-like protein 8,C19orf80,5,34.3,22.105,198,0,3.7891,275280000
Q6UXH1,Cysteine-rich with EGF-like domain protein 2,CRELD2,2,6.7,30.712,284,0.0052265,1.6103,19299000
Q6UXH9,Inactive serine protease PAMR1,PAMR1,11,17.1,81.942,737,0,41.007,451050000
Q6UXK5,Leucine-rich repeat neuronal protein 1,LRRN1,10,17.9,80.716,716,0,121.97,319210000
Q6UY14,ADAMTS-like protein 4,ADAMTSL4,17,19.4,116.54,1074,0,65.358,2382800000
Q6WN34,Chordin-like protein 2,CHRDL2,6,18.6,49.675,451,0,21.884,205560000
Q6YHK3,CD109 antigen,CD109,42,36.5,161.69,1445,0,323.31,15183000000
Q6ZMI3,Gliomedin,GLDN,5,11.9,45.822,427,0,15.099,172610000
Q6ZMJ2,Scavenger receptor class A member 5,SCARA5,5,11.5,53.994,495,0,22.376,58296000
Q6ZN40,Tropomyosin alpha-1 chain,TPM1,12,40.2,37.452,326,0,25.633,1143600000
Q6ZRP7,Sulfhydryl oxidase 2,QSOX2,15,25.9,77.528,698,0,50.6,496050000
Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13,ADAMTS13,42,36.2,153.6,1427,0,323.31,8841500000
Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1,2,3.4,102,910,0,4.6293,8316800
Q7LFX5,Carbohydrate sulfotransferase 15,CHST15,5,11.6,64.925,561,0,21.321,89665000
Q7LGC8,Carbohydrate sulfotransferase 3,CHST3,6,15.9,54.705,479,0,38.136,98370000
Q7Z3B1,Neuronal growth regulator 1,NEGR1,10,35.6,38.719,354,0,316.63,2026100000
Q7Z3S9,Notch homolog 2 N-terminal-like protein,NOTCH2NL;NOTCH2,2,28,25.835,236,0,13.255,23967000
Q7Z5L7,Podocan,PODN,4,8.3,57.895,519,0,7.912,39963000
Q7Z6M3,Allergin-1,MILR1,2,6.4,38.735,343,0,2.4161,13495000
Q7Z7M0,Multiple epidermal growth factor-like domains protein 8,MEGF8,55,27.3,303.1,2845,0,323.31,9174300000
Q7Z7M8,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",B3GNT8,16,63.7,43.395,397,0,274.08,2435900000
Q86SF2,N-acetylgalactosaminyltransferase 7,GALNT7,21,36.7,75.388,657,0,130.95,1490400000
Q86SJ2,Amphoterin-induced protein 2,AMIGO2,5,11.5,57.933,522,0,20.243,81957000
Q86SQ4,G-protein coupled receptor 126,GPR126,17,17.7,133.67,1193,0,132.97,1836900000
Q86SR1,Polypeptide N-acetylgalactosaminyltransferase 10,GALNT10,11,22.4,61.947,541,0,25.412,232470000
Q86T13,C-type lectin domain family 14 member A,CLEC14A,6,19.6,51.635,490,0,21.455,94665000
Q86U17,Serpin A11,SERPINA11,14,34.6,46.989,422,0,73.302,2357000000
Q86UD1,Out at first protein homolog,OAF,10,54.6,30.688,273,0,82.881,1764800000
Q86UN3,Reticulon-4 receptor-like 2,RTN4RL2,12,30.5,46.105,420,0,172.48,5216700000
Q86UX2,Inter-alpha-trypsin inhibitor heavy chain H5,ITIH5,12,15.6,104.58,942,0,33.735,192990000
Q86UX7,Fermitin family homolog 3,FERMT3,25,47.4,75.429,663,0,302.04,2102800000
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,CAND1,7,6.5,136.37,1230,0,10.08,64319000
Q86WI1,Fibrocystin-L,PKHD1L1,30,8.6,465.73,4243,0,118.72,525210000
Q86YW5,Trem-like transcript 1 protein,TREML1,4,20.1,21.323,199,0,61.097,757260000
Q86Z14,Beta-klotho,KLB,3,3.3,119.81,1044,0,4.0004,10003000
Q8IUE6,Histone H2A type 2-B;Histone H2A.V,HIST2H2AB;H2AFV,2,12.3,13.995,130,0.0035482,1.7691,31498000
Q8IUK5,Plexin domain-containing protein 1,PLXDC1,8,22,55.76,500,0,42.477,371170000
Q8IUK8,Cerebellin-2,CBLN2,5,28.6,24.084,224,0,53.792,401410000
Q8IV08,Phospholipase D3,PLD3,3,6.1,54.705,490,0,2.6678,1281400000
Q8IW52,SLIT and NTRK-like protein 4,SLITRK4,6,10.4,94.33,837,0,75.185,109190000
Q8IW75,Serpin A12,SERPINA12,16,45.7,47.174,414,0,155.8,803290000
Q8IWK6,Probable G-protein coupled receptor 125,GPR125,3,6.3,68.242,616,0,14.835,56676000
Q8IWL2,Pulmonary surfactant-associated protein A1;Pulmonary surfactant-associated protein A2,SFTPA1;SFTPA2,7,30.2,26.242,248,0,111.54,636600000
Q8IWU5,Extracellular sulfatase Sulf-2,SULF2,2,2.5,100.16,867,0,6.225,251480000
Q8IWV2,Contactin-4,CNTN4,27,38.2,113.45,1026,0,301.86,3945200000
Q8IXL6,Extracellular serine/threonine protein kinase FAM20C,FAM20C,26,50.7,66.234,584,0,316.61,9078300000
Q8IYS5,Osteoclast-associated immunoglobulin-like receptor,OSCAR,5,33.2,29.277,271,0,44.17,647130000
Q8IZA0,Dyslexia-associated protein KIAA0319-like protein,KIAA0319L,5,5.1,109.75,996,0,7.5628,85700000
Q8IZF2,Probable G-protein coupled receptor 116,GPR116,17,13.4,144.6,1301,0,143.15,1842400000
Q8IZP2,Putative protein FAM10A4;Hsc70-interacting protein;Putative protein FAM10A5,ST13P4;ST13;ST13P5,6,29.2,27.406,240,0,21.963,99217000
Q8N0V5,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase, isoform A",GCNT2,9,27.4,45.873,402,0,36.575,452100000
Q8N126,Cell adhesion molecule 3,CADM3,3,11.6,38.326,352,0,9.7266,90997000
Q8N1Q1,Carbonic anhydrase 13,CA13,3,13.4,29.443,262,0,23.839,64316000
Q8N392,Rho GTPase-activating protein 18,ARHGAP18,5,12.1,70.163,618,0,46.096,59680000
Q8N3J6,Cell adhesion molecule 2,CADM2,3,14.3,31.381,287,0,9.6185,26423000
Q8N3T6,Transmembrane protein 132C,TMEM132C,24,24.2,121.79,1108,0,136.4,1282100000
Q8N6C8,Leukocyte immunoglobulin-like receptor subfamily A member 3,LILRA3,14,36.7,47.471,439,0,212.72,13839000000
Q8N6Q3,CD177 antigen,CD177,7,21.5,46.363,437,0,18.66,433050000
Q8N8Z6,"Discoidin, CUB and LCCL domain-containing protein 1",DCBLD1,9,18,59.195,539,0,48.463,342120000
Q8NBI6,Xyloside xylosyltransferase 1,XXYLT1,2,6.4,43.806,393,0,2.4803,46378000
Q8NBJ4,Golgi membrane protein 1,GOLM1,19,38.9,44.272,391,0,82.381,2266100000
Q8NBP7,Proprotein convertase subtilisin/kexin type 9,PCSK9,21,41.6,74.285,692,0,323.31,10180000000
Q8NBS9,Thioredoxin domain-containing protein 5,TXNDC5,9,21.5,47.628,432,0,116.03,778200000
Q8NCC3,Group XV phospholipase A2,PLA2G15,7,20.6,46.657,412,0,100.58,867750000
Q8NCH7,Angiopoietin-related protein 2,ANGPTL2,3,21.5,22.717,191,0,4.8235,32438000
Q8NCL4,Polypeptide N-acetylgalactosaminyltransferase 6,GALNT6,8,18.3,71.158,622,0,56.003,211560000
Q8NCW5,NAD(P)H-hydrate epimerase,APOA1BP,5,42.7,20.43,185,0,36.043,145690000
Q8NDA2,Hemicentin-2,HMCN2,30,9.7,448.21,4198,0,107.66,1128400000
Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,DNER,5,8.1,78.474,737,0,30.505,126240000
Q8NFY4,Semaphorin-6D,SEMA6D,8,18.4,67.537,597,0,84.036,320010000
Q8NFZ8,Cell adhesion molecule 4,CADM4,2,9.8,42.785,388,0,16.482,52399000
Q8NHP8,Putative phospholipase B-like 2;Putative phospholipase B-like 2 32 kDa form;Putative phospholipase B-like 2 45 kDa form,PLBD2,8,16.1,65.471,589,0,23.425,305080000
Q8TCZ2,CD99 antigen-like protein 2,CD99L2,2,14.7,20.3,190,0,3.0279,88467000
Q8TDQ7,Glucosamine-6-phosphate isomerase 2,GNPDA2,3,21.1,30.955,275,0.0040864,1.6886,25543000
Q8TDY8,Immunoglobulin superfamily DCC subclass member 4,IGDCC4,11,13.9,134.21,1250,0,54.431,1358200000
Q8TEA8,D-tyrosyl-tRNA(Tyr) deacylase 1,DTD1,3,15.3,23.423,209,0,2.4438,21173000
Q8TEU8,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",WFIKKN2,7,14.6,63.941,576,0,94.11,136150000
Q8WUA8,Tsukushin,TSKU,4,12.7,37.807,353,0,8.9903,86986000
Q8WUJ3,Cell migration-inducing and hyaluronan-binding protein,CEMIP,8,7.1,153,1361,0,16.736,78390000
Q8WUM4,Programmed cell death 6-interacting protein,PDCD6IP,12,13.6,96.022,868,0,29.977,166290000
Q8WVQ1,Soluble calcium-activated nucleotidase 1,CANT1,7,22.6,38.945,350,0,15.385,124500000
Q8WWV6,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,FCAMR,2,14.5,24.861,220,0,22.155,6454500
Q8WWZ8,Oncoprotein-induced transcript 3 protein,OIT3,13,23.3,60.021,545,0,35.21,1152100000
Q8WXD2,Secretogranin-3,SCG3,10,27.1,53.005,468,0,50.372,354230000
Q8WZ42,Titin,TTN,12,0.4,3994.6,35991,0.0018204,2.0787,1146400000
Q8WZ75,Roundabout homolog 4,ROBO4,12,19.4,98.993,933,0,268.14,2620000000
Q8WZA1,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",POMGNT1,14,24.7,75.251,660,0,65.256,913640000
Q92187,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase",ST8SIA4,4,14.8,41.294,359,0,12.961,37087000
Q92484,Acid sphingomyelinase-like phosphodiesterase 3a,SMPDL3A,14,54.7,37.285,322,0,222.62,5582000000
Q92485,Acid sphingomyelinase-like phosphodiesterase 3b,SMPDL3B,4,15.3,41.689,373,0,11.205,95573000
Q92520,Protein FAM3C,FAM3C,11,53.7,24.68,227,0,316.01,2755500000
Q92542,Nicastrin,NCSTN,3,7,76.743,689,0,10.409,32784000
Q92626,Peroxidasin homolog,PXDN,7,6.1,165.27,1479,0,19.215,231050000
Q92692,Nectin-2,PVRL2,3,7.3,51.359,479,0,5.6618,59308000
Q92743,Serine protease HTRA1,HTRA1,4,9.8,51.286,480,0,6.2444,34128000
Q92820,Gamma-glutamyl hydrolase,GGH,23,53.1,35.964,318,0,323.31,34111000000
Q92854,Semaphorin-4D,SEMA4D,5,8.1,96.149,862,0,13.229,117050000
Q92859,Neogenin,NEO1,29,28.4,154.3,1408,0,323.31,6334400000
Q92876,Kallikrein-6,KLK6,3,11.1,26.855,244,0,4.285,95679000
Q92935,Exostosin-like 1,EXTL1,2,5.9,74.696,676,0,2.4981,6379100
Q92954,Proteoglycan 4;Proteoglycan 4 C-terminal part,PRG4,20,13.5,146.47,1361,0,167.13,3979200000
Q93063,Exostosin-2,EXT2,30,47.9,82.254,718,0,156.8,2638000000
Q93070,Ecto-ADP-ribosyltransferase 4,ART4,7,25.5,35.877,314,0,54.495,976210000
Q93088,Betaine--homocysteine S-methyltransferase 1,BHMT,9,32.8,44.998,406,0,62.011,243910000
