Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized 1st,LNCaP/RWPE-1 normalized 2nd,LNCaP/RWPE-1 normalized 3rd
O75369,Filamin-B (FLN-B) (ABP-278) (ABP-280 homolog) (Actin-binding-like protein) (Beta-filamin) (Filamin homolog 1) (Fh1) (Filamin-3) (Thyroid autoantigen) (Truncated actin-binding protein) (Truncated ABP),FLNB FLN1L FLN3 TABP TAP,0.14111,0.14427,0.14744
O75390,"Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)",CS,1.9407,1.9526,1.9835
O75396,Vesicle-trafficking protein SEC22b (ER-Golgi SNARE of 24 kDa) (ERS-24) (ERS24) (SEC22 vesicle-trafficking protein homolog B) (SEC22 vesicle-trafficking protein-like 1),SEC22B SEC22L1,1.7918,1.8152,1.6033
O75400,Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6),PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225,0.82179,0.86458,0.95152
O75436,Vacuolar protein sorting-associated protein 26A (Vesicle protein sorting 26A) (hVPS26),VPS26A VPS26,0.80511,0.86604,0.799
O75439,Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52),PMPCB MPPB,1.084,0.9952,1.0897
O75475,PC4 and SFRS1-interacting protein (CLL-associated antigen KW-7) (Dense fine speckles 70 kDa protein) (DFS 70) (Lens epithelium-derived growth factor) (Transcriptional coactivator p75/p52),PSIP1 DFS70 LEDGF PSIP2,0.50345,0.79119,1.1806
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)",NDUFS3,2.1909,2.3489,2.1695
O75494,"Serine/arginine-rich splicing factor 10 (40 kDa SR-repressor protein) (SRrp40) (FUS-interacting serine-arginine-rich protein 1) (Splicing factor SRp38) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)",SRSF10 FUSIP1 FUSIP2 SFRS13A TASR,1.0305,1.0517,0.97179
O75521,"Enoyl-CoA delta isomerase 2 (EC 5.3.3.8) (DRS-1) (Delta(3),delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Diazepam-binding inhibitor-related protein 1) (DBI-related protein 1) (Dodecenoyl-CoA isomerase) (Hepatocellular carcinoma-associated antigen 88) (Peroxisomal 3,2-trans-enoyl-CoA isomerase) (pECI) (Renal carcinoma antigen NY-REN-1)",ECI2 DRS1 HCA88 PECI,2.9892,3.0337,2.9589
O75531,"Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]",BANF1 BAF BCRG1,0.838,0.72276,0.74041
O75533,Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155),SF3B1 SAP155,1.0422,1.0306,1.0949
O75534,Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR),CSDE1 D1S155E KIAA0885 NRU UNR,1.287,1.392,1.2938
O75607,Nucleoplasmin-3,NPM3,1.1799,1.3002,1.1774
O75608,Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I) (Palmitoyl-protein hydrolase) (EC 3.1.2.22),LYPLA1 APT1 LPL1,1.1537,1.1695,1.1647
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),SNRNP200 ASCC3L1 HELIC2 KIAA0788,0.98698,0.94649,0.9614
O75663,TIP41-like protein (Putative MAPK-activating protein PM10) (Type 2A-interacting protein) (TIP),TIPRL,1.0519,0.94367,0.88315
O75694,Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155),NUP155 KIAA0791,1.1335,1.017,1.105
O75746,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial (Araceli hiperlarga) (Aralar) (Aralar1) (Mitochondrial aspartate glutamate carrier 1) (Solute carrier family 25 member 12)",SLC25A12 AGC1 ARALAR1,0.89573,0.85055,0.88739
O75792,Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (Aicardi-Goutieres syndrome 4 protein) (AGS4) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A),RNASEH2A RNASEHI RNHIA,1.0662,0.21972,0.99783
O75821,Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4) (eIF-3-delta) (eIF3 p42) (eIF3 p44),EIF3G EIF3S4,0.94523,0.91654,0.95737
O75822,Eukaryotic translation initiation factor 3 subunit J (eIF3j) (Eukaryotic translation initiation factor 3 subunit 1) (eIF-3-alpha) (eIF3 p35),EIF3J EIF3S1 PRO0391,0.74546,0.69979,0.72081
O75832,26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK)),PSMD10,2.0067,2.1145,2.0952
O75843,AP-1 complex subunit gamma-like 2 (Gamma2-adaptin) (G2ad),AP1G2,1.3013,1.2146,1.2335
O75844,CAAX prenyl protease 1 homolog (EC 3.4.24.84) (Farnesylated proteins-converting enzyme 1) (FACE-1) (Prenyl protein-specific endoprotease 1) (Zinc metalloproteinase Ste24 homolog),ZMPSTE24 FACE1 STE24,0.89356,0.96876,0.85672
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (IDH1) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDPc) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),IDH1 PICD,2.3237,2.2666,2.338
O75915,PRA1 family protein 3 (ADP-ribosylation factor-like protein 6-interacting protein 5) (ARL-6-interacting protein 5) (Aip-5) (Cytoskeleton-related vitamin A-responsive protein) (Dermal papilla-derived protein 11) (GTRAP3-18) (Glutamate transporter EAAC1-interacting protein) (JM5) (Prenylated Rab acceptor protein 2) (Protein JWa) (Putative MAPK-activating protein PM27),ARL6IP5 DERP11 JWA PRA2 PRAF3 HSPC127,1.3883,1.3915,1.3977
O75934,Pre-mRNA-splicing factor SPF27 (Breast carcinoma-amplified sequence 2) (DNA amplified in mammary carcinoma 1 protein) (Spliceosome-associated protein SPF 27),BCAS2 DAM1,0.80743,0.8688,0.79327
O75935,Dynactin subunit 3 (Dynactin complex subunit 22 kDa subunit) (p22),DCTN3 DCTN22,0.93767,0.78705,0.73785
O75937,DnaJ homolog subfamily C member 8 (Splicing protein spf31),DNAJC8 SPF31 HSPC315 HSPC331,0.88233,1.0318,1.1464
O75947,"ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)",ATP5PD ATP5H My032,1.7047,1.916,2.0362
O75955,Flotillin-1,FLOT1,1.0465,0.98963,1.1922
O75964,"ATP synthase subunit g, mitochondrial (ATPase subunit g) (ATP synthase membrane subunit g)",ATP5MG ATP5L,1.7909,1.7632,1.8697
O76003,Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2),GLRX3 PICOT TXNL2 HUSSY-22,0.57193,0.6161,0.59534
O76021,Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1),RSL1D1 CATX11 CSIG PBK1 L12,1.0982,1.0992,1.0813
O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",CLPX,1.6892,1.8113,1.4828
O76094,Signal recognition particle subunit SRP72 (SRP72) (Signal recognition particle 72 kDa protein),SRP72,0.86835,0.94225,1.0363
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 (DDAH-1) (Dimethylarginine dimethylaminohydrolase 1) (EC 3.5.3.18) (DDAHI) (Dimethylargininase-1)",DDAH1 DDAH,2.6226,2.3384,3.4233
O94826,Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70),TOMM70 KIAA0719 TOM70 TOMM70A,1.8866,1.643,1.5196
O94874,E3 UFM1-protein ligase 1 (EC 2.3.2.-) (E3 UFM1-protein transferase 1) (Multiple alpha-helix protein located at ER) (Novel LZAP-binding protein) (Regulator of C53/LZAP and DDRGK1),UFL1 KIAA0776 MAXER NLBP RCAD,1.8451,1.4972,1.7328
O94905,Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2),ERLIN2 C8orf2 SPFH2 UNQ2441/PRO5003/PRO9924,1.4754,1.8054,1.3367
O94906,Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1) (ANT-1) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein),PRPF6 C20orf14,0.91528,0.90509,0.86502
O94919,Endonuclease domain-containing 1 protein (EC 3.1.30.-),ENDOD1 KIAA0830,3.3058,3.4538,3.3012
O94925,"Glutaminase kidney isoform, mitochondrial (GLS) (EC 3.5.1.2) (K-glutaminase) (L-glutamine amidohydrolase) [Cleaved into: Glutaminase kidney isoform, mitochondrial 68 kDa chain; Glutaminase kidney isoform, mitochondrial 65 kDa chain]",GLS GLS1 KIAA0838,1.0094,0.96545,0.89088
O94973,AP-2 complex subunit alpha-2 (100 kDa coated vesicle protein C) (Adaptor protein complex AP-2 subunit alpha-2) (Adaptor-related protein complex 2 subunit alpha-2) (Alpha-adaptin C) (Alpha2-adaptin) (Clathrin assembly protein complex 2 alpha-C large chain) (Huntingtin yeast partner J) (Huntingtin-interacting protein 9) (HIP-9) (Huntingtin-interacting protein J) (Plasma membrane adaptor HA2/AP2 adaptin alpha C subunit),AP2A2 ADTAB CLAPA2 HIP9 HYPJ KIAA0899,0.8701,0.898,1.0207
O94979,Protein transport protein Sec31A (ABP125) (ABP130) (SEC31-like protein 1) (SEC31-related protein A) (Web1-like protein),SEC31A KIAA0905 SEC31L1 HSPC275 HSPC334,1.2524,1.1923,1.2552
O94992,Protein HEXIM1 (Cardiac lineage protein 1) (Estrogen down-regulated gene 1 protein) (Hexamethylene bis-acetamide-inducible protein 1) (Menage a quatre protein 1),HEXIM1 CLP1 EDG1 HIS1 MAQ1,1.5408,1.5208,1.3638
O95159,Zinc finger protein-like 1 (Zinc finger protein MCG4),ZFPL1,0.99772,1.1135,1.1402
O95197,Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII),RTN3 ASYIP NSPL2,2.3744,2.3525,2.3777
O95202,Mitochondrial proton/calcium exchanger protein (Leucine zipper-EF-hand-containing transmembrane protein 1),LETM1,1.5899,1.5314,1.5331
O95218,"Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)",ZRANB2 ZIS ZNF265,0.76947,0.78071,0.85105
O95232,Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1),LUC7L3 CREAP1 CROP O48,1.0306,1.0472,1.1049
O95292,Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C),VAPB UNQ484/PRO983,0.85941,0.72661,0.83245
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)",NDUFA10,2.7736,2.5053,2.7098
O95336,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),PGLS,0.54491,0.49071,0.51144
O95347,Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E) (hCAP-E) (XCAP-E homolog),SMC2 CAPE SMC2L1 PRO0324,0.50426,0.45463,0.45111
O95373,Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7),IPO7 RANBP7,0.62647,0.59307,0.61031
O95394,Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3),PGM3 AGM1,0.94709,0.71866,0.7495
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1 (AHA1) (p38),AHSA1 C14orf3 HSPC322,1.4832,1.3021,1.2893
O95456,Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2),PSMG1 C21LRP DSCR2 PAC1,0.78056,0.75363,0.83437
O95486,Protein transport protein Sec24A (SEC24-related protein A),SEC24A,1.2924,1.3226,1.3631
O95571,"Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)",ETHE1 HSCO,0.47617,0.41336,0.48136
O95573,Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3) (LACS 3) (Long-chain-fatty-acid--CoA ligase 3) (EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3) (EC 6.2.1.2),ACSL3 ACS3 FACL3 LACS3,0.70822,0.67181,0.7166
O95716,Ras-related protein Rab-3D,RAB3D GOV RAB16,1.1882,1.2107,1.1712
O95747,Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein),OXSR1 KIAA1101 OSR1,0.83111,0.85601,0.76283
O95777,U6 snRNA-associated Sm-like protein LSm8,LSM8,1.2086,1.2124,1.1924
O95782,AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit),AP2A1 ADTAA CLAPA1,0.65731,0.6019,0.67348
O95831,"Apoptosis-inducing factor 1, mitochondrial (EC 1.6.99.-) (Programmed cell death protein 8)",AIFM1 AIF PDCD8,2.0014,2.0069,2.1705
O95861,"3'(2'),5'-bisphosphate nucleotidase 1 (EC 3.1.3.7) (Bisphosphate 3'-nucleotidase 1) (PAP-inositol 1,4-phosphatase) (PIP)",BPNT1,1.6959,1.7129,1.7492
O95864,Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2),FADS2,0.57939,0.50626,0.57412
O95881,Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18) (ER protein 18) (ERp18) (Endoplasmic reticulum resident protein 19) (ER protein 19) (ERp19) (Thioredoxin-like protein p19) (hTLP19),TXNDC12 TLP19 UNQ713/PRO1376,1.167,0.58429,0.9394
O95994,Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog),AGR2 AG2 UNQ515/PRO1030,1.2068,0.92881,0.89424
O96000,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Complex I-PDSW) (CI-PDSW) (NADH-ubiquinone oxidoreductase PDSW subunit),NDUFB10,2.6397,2.5597,2.6802
O96008,Mitochondrial import receptor subunit TOM40 homolog (Protein Haymaker) (Translocase of outer membrane 40 kDa subunit homolog) (p38.5),TOMM40 C19orf1 PEREC1 TOM40,0.74067,1.5541,0.96007
O96019,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),ACTL6A BAF53 BAF53A INO80K,0.86838,0.8975,0.87765
P00167,Cytochrome b5 (Microsomal cytochrome b5 type A) (MCB5),CYB5A CYB5,4.2377,4.0371,3.9935
P00338,L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59),LDHA PIG19,0.54513,0.55973,0.56123
P00367,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)",GLUD1 GLUD,1.4523,1.4455,1.4024
P00387,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1),CYB5R3 DIA1,0.59761,0.68056,0.5738
P00390,"Glutathione reductase, mitochondrial (GR) (GRase) (EC 1.8.1.7)",GSR GLUR GRD1,2.304,2.1144,2.1933
P00403,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II),MT-CO2 COII COX2 COXII MTCO2,2.479,2.2791,2.3642
P00441,Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1),SOD1,1.7737,1.7098,1.821
P00491,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase),PNP NP,0.86734,0.90579,0.90023
P00505,"Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)",GOT2 KYAT4,1.7672,1.7361,1.7362
P00558,Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2),PGK1 PGKA MIG10 OK/SW-cl.110,1.0233,1.0027,1.0513
P00568,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),AK1,0.65568,0.65657,0.75127
P00966,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),ASS1 ASS,1.0534,1.1871,1.0317
P02545,Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)],LMNA LMN1,0.21273,0.20336,0.20908
P02751,Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3],FN1 FN,0.60163,0.69957,0.5902
P02786,"Transferrin receptor protein 1 (TR) (TfR) (TfR1) (Trfr) (T9) (p90) (CD antigen CD71) [Cleaved into: Transferrin receptor protein 1, serum form (sTfR)]",TFRC,0.89368,0.89264,0.85659
P02794,"Ferritin heavy chain (Ferritin H subunit) (EC 1.16.3.1) (Cell proliferation-inducing gene 15 protein) [Cleaved into: Ferritin heavy chain, N-terminally processed]",FTH1 FTH FTHL6 OK/SW-cl.84 PIG15,1.0809,0.94556,1.0872
P04040,Catalase (EC 1.11.1.6),CAT,3.778,3.9691,3.8586
P04075,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase),ALDOA ALDA,0.5995,0.59449,0.57895
P04080,Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B),CSTB CST6 STFB,1.2576,1.1805,1.1737
P04181,"Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]",OAT,0.18952,0.074212,0.18638
P04406,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),GAPDH GAPD CDABP0047 OK/SW-cl.12,0.64882,0.64202,0.63657
P04632,Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit),CAPNS1 CAPN4 CAPNS,0.38582,0.35131,0.36801
P04792,Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27),HSPB1 HSP27 HSP28,1.0237,1.0404,1.05
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1),RPN1,1.0023,1.0096,1.0114
P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2),RPN2,0.8885,0.86451,0.86213
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),GNAI2 GNAI2B,0.52112,0.52258,0.47937
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),ATP1A1,1.1129,1.0505,1.0875
P05141,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]",SLC25A5 AAC2 ANT2,1.5161,1.4791,1.4681
P05161,Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP),ISG15 G1P2 UCRP,1.1506,1.1115,1.1558
P05198,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha),EIF2S1 EIF2A,0.71272,0.72866,0.69967
P05386,60S acidic ribosomal protein P1 (Large ribosomal subunit protein P1),RPLP1 RRP1,0.70267,0.91972,0.68959
P05387,60S acidic ribosomal protein P2 (Large ribosomal subunit protein P2) (Renal carcinoma antigen NY-REN-44),RPLP2 D11S2243E RPP2,0.87954,0.85081,0.92013
P05388,60S acidic ribosomal protein P0 (60S ribosomal protein L10E) (Large ribosomal subunit protein uL10),RPLP0,0.90224,0.88291,0.9205
P05455,Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B),SSB,1.2348,1.2086,1.2933
P05556,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),ITGB1 FNRB MDF2 MSK12,0.43017,0.51115,0.45134
P05783,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",KRT18 CYK18 PIG46,2.239,2.1299,2.164
P06493,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),CDK1 CDC2 CDC28A CDKN1 P34CDC2,1.1809,1.1128,1.2128
P06576,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",ATP5F1B ATP5B ATPMB ATPSB,2.3231,2.1385,2.2048
P06730,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),EIF4E EIF4EL1 EIF4F,0.92468,0.98145,1.0594
P06733,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,0.51655,0.50368,0.51423
